lemma,language_code,status
author n. a2,en,PENDING
authority n. b1,en,PENDING
autumn n. a1,en,PENDING
available adj. a2,en,PENDING
"average adj., n. a2, v. b1",en,PENDING
avoid v. a2,en,PENDING
"award n. a2, v. b1",en,PENDING
aware adj. b1,en,PENDING
away adv. a1,en,PENDING
awful adj. a2,en,PENDING
baby n. a1,en,PENDING
"back n., adv. a1, adj. a2, v. b2",en,PENDING
background n. a2,en,PENDING
backwards adv. b1,en,PENDING
bacteria n. b2,en,PENDING
bad adj. a1,en,PENDING
badly adv. a2,en,PENDING
bag n. a1,en,PENDING
bake v. b1,en,PENDING
"balance n., v. b1",en,PENDING
ball n. a1,en,PENDING
"ban v., n. b1",en,PENDING
banana n. a1,en,PENDING
band n. a1,en,PENDING
bank money n. a1,en,PENDING
bank n. a1,en,PENDING
bank n. b1,en,PENDING
bank river n. b1,en,PENDING
"bar n. a2, v. b2",en,PENDING
barrier n. b2,en,PENDING
"base n., v. b1",en,PENDING
baseball n. a2,en,PENDING
based adj. a2,en,PENDING
basic adj. b1,en,PENDING
basically adv. b2,en,PENDING
basis n. b1,en,PENDING
basketball n. a2,en,PENDING
bath n. a1,en,PENDING
bathroom n. a1,en,PENDING
battery n. b1,en,PENDING
"battle n. b1, v. b2",en,PENDING
"be v., auxiliary v. a1",en,PENDING
beach n. a1,en,PENDING
bean n. a2,en,PENDING
bear animal n. a2,en,PENDING
bear deal with v. b2,en,PENDING
bear n. a2,en,PENDING
bear v. b2,en,PENDING
"beat v. a2, n. b2",en,PENDING
beautiful adj. a1,en,PENDING
beauty n. b1,en,PENDING
because conj. a1,en,PENDING
become v. a1,en,PENDING
bed n. a1,en,PENDING
bedroom n. a1,en,PENDING
bee n. b1,en,PENDING
beef n. a2,en,PENDING
beer n. a1,en,PENDING
"before prep. a1, conj., adv. a2",en,PENDING
beg v. b2,en,PENDING
begin v. a1,en,PENDING
beginning n. a1,en,PENDING
behave v. a2,en,PENDING
behaviour n. a2,en,PENDING
"behind prep., adv. a1",en,PENDING
being n. b2,en,PENDING
belief n. b1,en,PENDING
believe v. a1,en,PENDING
bell n. b1,en,PENDING
belong v. a2,en,PENDING
"below adv., prep. a1",en,PENDING
belt n. a2,en,PENDING
"bend v., n. b1",en,PENDING
"benefit n. a2, v. b1",en,PENDING
bent adj. b2,en,PENDING
"best adj. a1, adv., n. a2",en,PENDING
"bet v., n. b2",en,PENDING
"better adj. a1, adv. a2, n. b1",en,PENDING
"between prep. a1, adv. a2",en,PENDING
"beyond prep., adv. b2",en,PENDING
bicycle n. a1,en,PENDING
big adj. a1,en,PENDING
bike n. a1,en,PENDING
"bill n. a1, v. b2",en,PENDING
billion number a2,en,PENDING
bin n. a2,en,PENDING
biology n. a2,en,PENDING
bird n. a1,en,PENDING
birth n. a2,en,PENDING
birthday n. a1,en,PENDING
biscuit n. a2,en,PENDING
bit n. a2,en,PENDING
"bite v., n. b1",en,PENDING
bitter adj. b2,en,PENDING
"black adj., n. a1",en,PENDING
"blame v., n. b2",en,PENDING
"blank adj., n. a2",en,PENDING
blind adj. b2,en,PENDING
"block n., v. b1",en,PENDING
blog n. a1,en,PENDING
blonde adj. a1,en,PENDING
blood n. a2,en,PENDING
blow v. a2,en,PENDING
"blue adj., n. a1",en,PENDING
"board n. a2, v. b1",en,PENDING
boat n. a1,en,PENDING
body n. a1,en,PENDING
boil v. a2,en,PENDING
"bomb n., v. b1",en,PENDING
bond n. b2,en,PENDING
bone n. a2,en,PENDING
"book n. a1, v. a2",en,PENDING
boot n. a1,en,PENDING
"border n. b1, v. b2",en,PENDING
bored adj. a1,en,PENDING
boring adj. a1,en,PENDING
born v. a1,en,PENDING
borrow v. a2,en,PENDING
boss n. a2,en,PENDING
both det. a1,en,PENDING
both pron. a1,en,PENDING
bother v. b1,en,PENDING
bottle n. a1,en,PENDING
"bottom n., adj. a2",en,PENDING
bowl n. a2,en,PENDING
