lemma,language_code,status
"come off sth",en,VALID
"come on",en,VALID
"come out",en,VALID
"come out against",en,VALID
"come out of sth",en,VALID
"come out with sth",en,VALID
"come over sb",en,VALID
"come over sth",en,VALID
"come round",en,VALID
"come through sth",en,VALID
"come up",en,VALID
"come up against sb",en,VALID
"come up against sth",en,VALID
"come with",en,VALID
"come with you",en,VALID
"comes into",en,VALID
"compensate for",en,VALID
"confide in sb",en,VALID
"conjure up sth",en,VALID
"continuously in",en,VALID
"continuously in order",en,VALID
"cordon off sth",en,VALID
"cordon sth off",en,VALID
"cotton on",en,VALID
"cotton on informal",en,VALID
"cough sth up",en,VALID
"cough up",en,VALID
"cough up sth",en,VALID
"couldn't ask for sb",en,VALID
"couldn't ask for sth",en,VALID
"count on sth",en,VALID
"count out sb",en,VALID
"count sb out",en,VALID
"count upon sth",en,VALID
"cover sth up",en,VALID
"cover up",en,VALID
"cover up sth",en,VALID
"cream off sb",en,VALID
"cream sb off",en,VALID
"creep up",en,VALID
"creep up on sb",en,VALID
"cross off sth",en,VALID
"cross over",en,VALID
"cross sth off",en,VALID
"cross sth off sth",en,VALID
"crowd around",en,VALID
"crowd around sb",en,VALID
"crowd around sth",en,VALID
"crowd round",en,VALID
"crowd round sb",en,VALID
"crowd round sth",en,VALID
"curl up",en,VALID
"customers to return",en,VALID
"cut down sth",en,VALID
"cut in",en,VALID
"cut in on",en,VALID
"cut in on sth",en,VALID
"cut in sth",en,VALID
"cut it out",en,VALID
"cut off",en,VALID
"cut off sth",en,VALID
"cut off your nose",en,VALID
"cut out sth",en,VALID
"cut sth down",en,VALID
"cut sth off",en,VALID
"cut sth out",en,VALID
"dash off",en,VALID
"deal in sth",en,VALID
"deal with",en,VALID
"deal with sth",en,VALID
"decide on sb",en,VALID
"decide on sth",en,VALID
"decide upon sb",en,VALID
"decide upon sth",en,VALID
"depend on sb",en,VALID
"depend on sth",en,VALID
"depend upon sb",en,VALID
"depend upon sth",en,VALID
"depends on",en,VALID
"die away",en,VALID
"die down",en,VALID
"die out",en,VALID
"dig sth up",en,VALID
"dig up sth",en,VALID
"dig your heels in",en,VALID
"dip sth in",en,VALID
"dip sth in sth",en,VALID
"disagree with sb",en,VALID
"dive in sth",en,VALID
"dive into sth",en,VALID
"doll yourself up",en,VALID
"dot sth with sth",en,VALID
"double back",en,VALID
"double over",en,VALID
"double sb over",en,VALID
"double sb up",en,VALID
"double up",en,VALID
"double up as sth",en,VALID
"drag out",en,VALID
"drag out sth",en,VALID
"drag sb away from",en,VALID
"drag sb into sth",en,VALID
"drag sth into sth",en,VALID
"drag sth out",en,VALID
"draw back",en,VALID
"draw out sb",en,VALID
"draw out sth",en,VALID
"draw sb out",en,VALID
"draw sth out",en,VALID
"draw sth up",en,VALID
"draw up sth",en,VALID
"dream on",en,VALID
"dress sb up",en,VALID
"dress up",en,VALID
"dress up sb",en,VALID
"drill down",en,VALID
"drink in",en,VALID
"drink sth up",en,VALID
"drink up",en,VALID
"drink up sth",en,VALID
"drop back",en,VALID
"drop by",en,VALID
"drop off",en,VALID
"drop off sb",en,VALID
"drop off sth",en,VALID
"drop out",en,VALID
"drop sb off",en,VALID
"drop sth off",en,VALID
"drown out sth",en,VALID
"drown sth out",en,VALID
"drum up sth",en,VALID
"dry out",en,VALID
"dry out sth",en,VALID
"dry sth out",en,VALID
"dry up",en,VALID
"dumb down sth",en,VALID
"dumb sth down",en,VALID
"dumb sth up",en,VALID
"dumb up sth",en,VALID
"ease off",en,VALID
"ease up",en,VALID
"eat away",en,VALID
"eat away at sb",en,VALID
"eat away at sth",en,VALID
"eat in",en,VALID
"eat into sth",en,VALID
"eat sth up",en,VALID
"eat up",en,VALID
"eat up sth",en,VALID
"egg on sb",en,VALID
"egg sb on",en,VALID
"eke out sth",en,VALID
"eke sth out",en,VALID
"encroach on sth",en,VALID
"encroach upon sth",en,VALID
"engage sb in sth",en,VALID
"expand on sth",en,VALID
"expand upon sth",en,VALID
"explain away sth",en,VALID
"explain sth away",en,VALID
"face up",en,VALID
"face up to sth",en,VALID
"factor in sth",en,VALID
"factor sth in",en,VALID
"fade in",en,VALID
"fade out",en,VALID
"fall back",en,VALID
"fall back on sth",en,VALID
"fall back upon sth",en,VALID
"fall in",en,VALID
"fall into sth",en,VALID
"fall off",en,VALID
"fall through",en,VALID
"farm out sth",en,VALID
"farm sth out",en,VALID
"feed on sth",en,VALID
"feed upon sth",en,VALID
"feel up",en,VALID
"fend for yourself",en,VALID
"ferret out sth",en,VALID
"ferret sth out",en,VALID
"fight back sth",en,VALID
"fight off sb",en,VALID
"fight off sth",en,VALID
"fight sb off",en,VALID
"fight sth back",en,VALID
"fight sth off",en,VALID
"fill sb up",en,VALID
"fill up sb",en,VALID
"finish off sb",en,VALID
"finish sb off",en,VALID
"finish sth up",en,VALID
"finish up",en,VALID
"finish up sth",en,VALID
"finish with sth",en,VALID
"firm sth up",en,VALID
"firm up sth",en,VALID
"fish out sth",en,VALID
"fish sth out",en,VALID
"fit in",en,VALID
"fit in with sth",en,VALID
"fix sth up",en,VALID
"fix up sth",en,VALID
"flag down sth",en,VALID
"flag sth down",en,VALID
"flare up",en,VALID
"flash back",en,VALID
"flatten out",en,VALID
"fling off sth",en,VALID
"fling sth off",en,VALID
"fling yourself into",en,VALID
"flirt with sb",en,VALID
"flirt with sth",en,VALID
"floating about",en,VALID
"floating around",en,VALID
"flood back",en,VALID
"flood in sth",en,VALID
"flood into sth",en,VALID
"flush out",en,VALID
"flush out sb",en,VALID
"flush out sth",en,VALID
"flush sb out",en,VALID
"flush sth out",en,VALID
"fly about",en,VALID
"fly about somewhere",en,VALID
"fly about swh",en,VALID
"fly around",en,VALID
"fly around somewhere",en,VALID
"fly around swh",en,VALID
"fly at sb",en,VALID
"fly into sth",en,VALID
"focus on sth",en,VALID
"focus sth on sth",en,VALID
"focus sth upon sth",en,VALID
"focus upon sth",en,VALID
"fog up",en,VALID
"fold sth up",en,VALID
"fold up",en,VALID
"fold up sth",en,VALID
"free up sth",en,VALID
"freeze out sb",en,VALID
"freeze over",en,VALID
"freeze sb out",en,VALID
"freeze up",en,VALID
"fritter away sth",en,VALID
"fritter sth away",en,VALID
"frown on sth",en,VALID
"frown upon sth",en,VALID
"fuss over sb",en,VALID
"fuss over sth",en,VALID
"gain on sb",en,VALID
"gain on sth",en,VALID
"gain upon sb",en,VALID
"gain upon sth",en,VALID
"gang up",en,VALID
"gather sth up",en,VALID
"gather up sth",en,VALID
"get across sth",en,VALID
"get around",en,VALID
"get away",en,VALID
"get back into sth",en,VALID
"get by",en,VALID
"get in on sth",en,VALID
"get into sth",en,VALID
"get off",en,VALID
"get on",en,VALID
"get out",en,VALID
"get over sth",en,VALID
"get sth across",en,VALID
"get through",en,VALID
"get through sth",en,VALID
"get up",en,VALID
"get up to sth",en,VALID
"give up",en,VALID
"go down",en,VALID
"go easy on sth",en,VALID
"go for",en,VALID
"go for sth",en,VALID
"go in",en,VALID
"go in for sth",en,VALID
"go in informal",en,VALID
"go into sth",en,VALID
"go off",en,VALID
"go on",en,VALID
"go on to sth",en,VALID
"go onto sth",en,VALID
"go out",en,VALID
"go out together",en,VALID
"go over sth",en,VALID
"hang on",en,VALID
"hang out",en,VALID
"hang out informal",en,VALID
"hang over",en,VALID
"hang over sb",en,VALID
"hang over sth",en,VALID
"hanker for sth",en,VALID
"happen on sb",en,VALID
"happen on sth",en,VALID
"happen upon sb",en,VALID
"happen upon sth",en,VALID
"harp on",en,VALID
"head off sth",en,VALID
"head up sth",en,VALID
"heal over",en,VALID
"help sb to sth",en,VALID
"hinge on sth",en,VALID
"hinge upon sth",en,VALID
"hit on sth",en,VALID
"hit out",en,VALID
"hit upon sth",en,VALID
"hive off sth",en,VALID
"hoard away sth",en,VALID
"hold over sth",en,VALID
"intend to go",en,VALID
"join in",en,VALID
"join in sth",en,VALID
"join up",en,VALID
"jut out",en,VALID
"keeo out",en,VALID
"keeo out of sth",en,VALID
"keep back sth",en,VALID
"keep down sth",en,VALID
"keep in",en,VALID
"keep it up",en,VALID
"keep off sth",en,VALID
"keep on",en,VALID
"keep on doing sth",en,VALID
"keep on slightly",en,VALID
"keep sb in",en,VALID
"keep sb up",en,VALID
"keep to sth",en,VALID
"keep up",en,VALID
"keep up sth",en,VALID
"kick off",en,VALID
"kick off british",en,VALID
"kick off sth",en,VALID
"kick out sb",en,VALID
